,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0475,4.699299,5.0758142,8.670574,2.4444435,9
MB-6225,5.5399275,3.266308,9.087252,2.797093,7
MB-0489,4.5740438,0.9132446,9.349405,2.9691114,4
MB-0153,4.528166,2.4480054,10.7298565,3.1699247,4
MB-4655,4.1468425,4.1558824,7.9142075,4.6724153,3
MB-3436,4.4103794,3.9745915,9.492831,2.15204,1
MB-5232,3.8836596,0.91457015,9.016696,3.4329252,10
MB-5270,4.569124,5.316356,8.480958,3.673657,8
MB-7018,3.4300084,3.534256,10.113268,2.2566874,9
MB-6131,4.153972,3.1404169,8.580384,4.0941014,5
MB-0122,3.9562683,5.39522,9.313096,2.3849862,8
MB-2835,3.4672174,4.5252604,9.694799,2.3874269,3
MB-0301,5.5928836,3.7837496,9.421013,2.5858536,7
MB-6008,4.9944425,4.360798,8.029736,4.3218484,9
MB-5583,3.7931552,4.206383,8.679414,3.3360252,7
MB-7176,3.9559934,5.447807,9.421329,2.7751698,8
MB-0286,4.3363757,2.4399683,10.532775,2.4973962,4
MB-0535,4.94632,4.6366057,9.6141,2.0913303,8
MB-2858,3.3126757,3.9117243,10.173296,2.2861264,1
MB-2960,3.1502411,3.721825,10.376672,2.4009745,6
MB-3365,5.3033934,5.3244467,10.48463,3.6882913,7
MB-3292,3.5094182,0.88850665,9.377156,2.7963636,10
MB-4681,4.728808,4.507587,9.007123,4.494511,3
MB-5387,3.7167943,0.75604475,8.924487,3.2838871,10
MB-0574,4.7641745,4.794356,8.307708,2.5835063,2
MB-5617,5.339051,5.4076657,10.61968,3.7078612,4
MB-4735,4.4571705,5.3011684,8.584015,3.6774852,8
MB-6329,4.821876,2.9053755,8.769377,3.508183,9
MB-0268,4.1368546,4.7699847,8.423754,2.3630347,9
MB-0449,5.3766303,4.1283646,9.702784,2.8096225,3
MB-5558,4.758717,2.736241,10.136629,3.8121552,5
MB-7046,4.4879746,4.1600027,9.334884,3.2899063,6
MB-5345,4.598344,2.7434933,9.800021,3.9279613,4
MB-3275,3.5353045,3.8352284,9.84715,1.9829558,1
MB-0050,4.6572404,3.3907826,10.427239,3.2005148,8
MB-3165,4.351251,4.5815773,9.586827,3.2333543,1
MB-0136,4.5040083,3.100503,9.716352,2.1378574,3
MB-5267,4.5381985,2.4128218,9.499344,3.75596,2
MB-4767,5.1879473,3.63764,8.263649,2.9565873,9
MB-3852,4.5845785,3.1368227,9.364221,2.664703,4
MB-0585,5.36327,3.8872943,9.608069,2.8948061,6
MB-2803,4.5265255,4.7676744,9.689847,2.653068,8
MB-4660,4.3371177,3.4181309,7.746357,5.058808,9
MB-5052,4.1981215,1.2903433,8.842284,2.956354,4
MB-0632,4.761634,3.2498546,9.53028,2.8444908,4
MB-3171,3.894282,4.234879,10.219501,2.3703723,7
MB-0884,4.147702,4.7176046,8.557134,2.269473,9
MB-5014,5.0848794,5.1830416,8.918775,3.6067839,6
MB-3467,4.0514703,4.1823893,9.407385,1.7033417,5
MB-2821,4.17612,2.4181466,10.586324,2.5138667,4
MB-0362,5.1290655,5.175136,8.852048,2.979024,2
MB-6060,4.7441144,2.8782146,8.737074,3.0556004,5
MB-4738,4.8320937,2.9395597,10.09386,3.884331,3
MB-7078,4.067236,1.4068176,10.021917,2.3399143,10
MB-0599,4.471667,2.5249717,10.684521,3.0146675,4
MB-2624,3.0368264,3.8370419,10.259605,2.1765058,3
MB-0293,4.3788724,1.9628855,10.576764,2.7115402,4
MB-5444,5.4167914,4.3362756,9.244893,3.8310306,7
MB-5475,5.654168,4.321772,9.281717,3.6166737,2
MB-6048,5.0496445,2.8965347,8.897683,3.1494577,9
MB-7049,4.7306623,2.6239998,10.288008,3.8361225,4
MB-3064,4.073581,2.9792712,10.142647,2.599814,4
MB-7090,4.596369,2.9723642,9.751251,3.5124767,10
MB-0579,4.949483,4.0605536,9.469576,3.3162022,7
MB-4233,5.563324,3.8721428,8.204008,3.4693851,9
MB-5396,4.554447,4.519917,8.054057,3.9183652,9
MB-6063,4.2221494,4.143987,7.828897,5.1963315,5
MB-4484,4.670435,4.3415074,8.983124,4.346424,3
MB-5199,4.427532,2.1800866,9.36686,3.5966535,5
MB-0311,4.048216,4.486437,8.330627,2.5415466,8
MB-6251,3.4373004,0.7699888,9.327069,3.3410852,10
MB-5490,4.1096826,5.3565307,8.532559,3.1533127,8
MB-5329,4.867605,4.559887,9.057237,4.48317,2
MB-4757,3.565184,0.7846186,9.072202,3.005648,10
MB-6232,4.8531704,4.915847,9.495159,2.8034227,3
MB-0127,4.558188,2.9710386,10.399941,2.3711078,3
MB-2953,3.0342724,3.758593,10.224055,2.1782668,10
MB-6017,5.112701,5.146804,9.277656,3.7698286,3
MB-7273,4.2909036,1.9091985,9.112051,2.702895,5
MB-7152,4.7613688,4.331667,8.422605,2.2443805,9
MB-7128,4.1016912,4.2652645,9.983762,3.7144015,5
MB-6308,4.708148,4.395264,8.515334,4.4969964,8
MB-0639,3.6535184,0.685136,9.360138,2.8874907,10
MB-6297,4.629107,4.786553,8.436289,2.5846062,8
MB-0478,4.660738,2.6017497,10.59304,3.0278213,3
MB-2844,3.0789282,3.8297126,9.979501,2.2390118,9
MB-3350,5.084303,5.3667827,10.4064245,3.4476051,3
MB-6200,4.6683917,3.615748,8.90201,3.3165987,9
MB-5122,4.952849,4.57403,9.120399,4.2499266,8
MB-4876,4.4075694,1.0757976,9.395693,2.7462156,4
MB-7207,4.1532817,1.8479494,9.030163,3.0040817,1
MB-4965,5.0071616,4.3791766,9.377582,3.7112145,4
MB-0413,4.704157,4.015466,9.382921,3.539041,2
MB-5196,5.233861,4.4165277,8.582853,3.9107816,7
MB-6336,3.4992464,0.58212775,9.088768,3.2096446,2
MB-5162,4.2278733,1.6570084,10.507986,2.5952296,4
MB-6007,4.338638,3.4483294,8.55453,4.43352,3
MB-7186,5.7985716,3.4562306,8.434122,3.2510931,7
MB-5468,3.109844,0.72332007,9.257955,3.2104692,10
MB-4894,4.1610427,4.036339,9.028655,3.9621882,8
MB-5120,4.3245144,1.9320866,8.947789,3.478528,5
MB-7278,3.9268355,4.3148155,9.787435,3.9218476,3
MB-5546,4.760967,2.941371,10.121368,3.8054712,7
MB-0299,3.6852155,1.7182541,9.342396,2.6064463,10
MB-0519,4.4112163,1.0699863,9.400114,2.7908347,4
