,Component_1,Component_2,Component_3,Component_4,label
507,4.191547,5.047422,8.257474,3.8200574,10
508,3.7384803,0.7934461,9.140867,2.7909808,7
509,5.465772,3.9295778,9.562324,3.082335,9
510,4.6756315,2.5469244,10.710524,3.3547854,4
511,5.3365984,4.302817,9.337551,3.0742738,2
512,3.6351361,3.7134192,10.243526,1.9869661,5
513,3.9081187,5.555918,8.832141,2.9219403,3
514,4.913562,4.4113092,8.930113,4.5627556,9
515,4.718456,2.7538924,9.935392,3.997728,5
516,3.2846684,1.0232965,9.454053,3.3451664,10
517,4.0296445,4.827398,8.065188,4.5266924,4
518,3.3615959,0.5031805,9.090061,3.081492,1
519,5.706159,3.3782163,9.245362,2.6591723,5
520,4.2746224,5.3551984,9.230563,2.5058331,7
521,4.1718144,3.7467875,9.486227,2.4645038,9
522,3.9574335,4.1409473,9.150834,3.4885728,9
523,4.1131797,2.6760702,10.655429,2.8914437,4
524,4.1267114,1.122321,9.039529,3.2330666,4
525,5.2548013,4.046612,9.095959,3.8842227,1
526,4.1784205,4.3983674,9.961891,1.9994782,5
527,3.20496,1.1395911,9.659006,2.6678057,8
528,4.118203,4.8155346,7.9918694,4.7676463,8
529,4.2952547,1.9136416,9.706284,2.4890156,2
530,5.016407,5.3854766,10.232794,3.302835,10
