,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-4603,3.3036923,0.18449895,9.39034,3.164442,8
MB-6225,1.6450503,0.96751004,10.593345,2.579448,7
MB-5272,2.6493514,1.6843414,10.940794,3.319326,4
MB-0165,2.5646393,1.3277137,10.130855,2.2755175,5
MB-4189,3.2462192,0.40495053,9.568363,3.40319,2
MB-5421,3.1288118,1.3785224,10.98897,2.9936516,10
MB-3002,2.5081007,0.8840575,10.932766,1.3190861,3
MB-0218,1.7204118,0.97237295,10.341695,1.894658,1
MB-5189,2.106899,0.62476236,10.719639,2.7369003,4
MB-6200,2.3212433,0.7919466,10.579015,2.6148894,9
MB-0339,1.8199017,-0.25203893,10.662483,1.8912168,4
MB-2823,2.6924179,0.71270716,11.415991,2.4758356,4
MB-3271,3.0183,1.8246844,11.522718,2.5331187,10
MB-0544,2.187901,0.6201135,10.161153,1.3168218,8
MB-5599,1.9719445,1.0439776,9.898638,2.5540626,7
MB-6077,2.960666,0.44732484,9.8580065,3.231679,7
MB-7094,3.113176,0.6021185,9.842456,2.8430803,9
MB-5178,2.270273,0.0001882037,10.187568,2.4849117,6
MB-4374,2.7025156,0.096215665,9.719561,3.0300837,7
MB-6306,2.158578,1.0389143,9.915534,1.663482,1
MB-0292,2.6186187,1.3578937,10.502981,2.4979658,9
MB-5289,3.0350702,0.10991388,9.715903,2.6101022,8
MB-2843,2.7084167,0.77096057,11.474414,1.6752839,2
MB-0093,2.448897,1.1695285,11.373341,0.8128528,3
MB-7260,2.8285275,1.1225743,9.850088,2.3578343,5
MB-0384,2.4361818,0.9022756,10.258859,1.1822506,8
MB-4792,3.1844976,1.6200997,11.249353,3.1329184,10
MB-7063,2.4858942,0.5818663,10.919801,1.6307479,3
MB-4222,3.3189502,0.18208514,9.297688,3.2404695,8
MB-0489,2.4103086,1.6839173,11.4632,3.3642442,4
MB-7112,2.0184207,0.7690894,10.670087,2.3452904,2
MB-3547,2.3708222,0.569039,11.301803,1.7444763,4
MB-5392,2.3049212,1.6749631,11.193837,2.823836,4
MB-0482,2.3012822,1.168235,11.503486,2.6761537,5
MB-7278,2.8039236,0.1964827,10.880407,2.0307326,3
MB-3211,3.1800158,1.6911303,11.15346,2.2796156,10
MB-4660,3.0831158,0.8394563,10.109818,3.3513498,9
MB-0241,2.5842466,0.95384693,10.682922,2.0523148,4
MB-5394,2.6446185,1.4358667,10.791135,3.4723504,1
MB-5399,2.5420995,0.02664484,10.214725,2.4856248,3
MB-0527,1.9533917,0.5276303,11.419424,2.6385183,4
MB-5256,2.8937416,0.61357147,9.799463,2.3964982,8
MB-0880,1.7462571,0.22116862,10.206391,2.1759179,7
MB-0529,2.5681288,1.0196493,9.902841,1.4926083,8
MB-3412,2.6824112,0.87663615,10.486027,1.2433258,8
MB-5260,1.9533685,0.0553081,10.082245,2.6233735,7
MB-5590,2.589315,0.86719805,10.803186,2.1775746,4
MB-0628,2.1187928,1.1856446,10.0936165,2.3307261,7
MB-2767,2.7079778,1.293804,10.759591,1.4112812,2
MB-3978,2.418769,0.96879,10.294058,1.8040507,5
